# wavelength flux(cal) flux
4301.5651 4.039810e+03 5.417089e+03
4302.7920 4.098997e+03 5.504078e+03
4304.0189 4.222908e+03 5.678326e+03
4305.2458 4.185135e+03 5.635335e+03
4306.4727 4.020709e+03 5.421432e+03
4307.6996 4.115862e+03 5.557418e+03
4308.9265 4.221015e+03 5.707285e+03
4310.1534 3.995965e+03 5.410465e+03
4311.3803 4.222535e+03 5.725137e+03
4312.6072 4.079086e+03 5.538279e+03
4313.8342 4.211073e+03 5.725371e+03
4315.0611 4.222047e+03 5.748205e+03
4316.2880 4.045721e+03 5.515730e+03
4317.5149 4.124550e+03 5.630943e+03
4318.7418 4.093168e+03 5.595785e+03
4319.9687 4.288930e+03 5.871469e+03
4321.1956 4.195326e+03 5.751211e+03
4322.4225 4.072102e+03 5.589943e+03
4323.6494 4.122051e+03 5.666262e+03
4324.8763 4.127351e+03 5.681311e+03
4326.1032 4.107001e+03 5.661027e+03
4327.3302 4.192019e+03 5.786104e+03
4328.5571 4.103397e+03 5.671506e+03
4329.7840 4.040605e+03 5.592324e+03
4331.0109 4.086195e+03 5.663115e+03
4332.2378 4.146421e+03 5.754391e+03
4333.4647 4.049958e+03 5.628145e+03
4334.6916 4.065176e+03 5.656947e+03
4335.9185 4.228844e+03 5.892662e+03
4337.1454 4.120452e+03 5.749381e+03
4338.3723 3.962488e+03 5.536428e+03
4339.5993 4.114537e+03 5.756615e+03
4340.8262 4.272377e+03 5.985488e+03
4342.0531 4.362233e+03 6.119580e+03
4343.2800 4.197370e+03 5.896193e+03
4344.5069 3.975099e+03 5.591436e+03
4345.7338 4.199137e+03 5.914463e+03
4346.9607 4.181884e+03 5.898018e+03
4348.1876 4.110731e+03 5.805385e+03
4349.4145 4.167834e+03 5.893852e+03
4350.6414 3.809067e+03 5.393654e+03
4351.8683 4.106343e+03 5.822297e+03
4353.0953 4.104001e+03 5.826668e+03
4354.3222 4.381812e+03 6.229297e+03
4355.5491 4.191801e+03 5.967018e+03
4356.7760 4.211671e+03 6.003180e+03
4358.0029 4.241724e+03 6.053943e+03
4359.2298 4.176205e+03 5.968232e+03
4360.4567 4.142454e+03 5.927729e+03
